#Lattice Size =  8 x 14
J*B_star/2. , magnetization_density
0.20447707000000004,0.9364464285714286
0.18987156500000002,0.9250535714285714
0.1825688125,0.9081964285714286
0.17526606,0.895875
0.16796330750000002,0.8580535714285714
0.160660555,0.7980535714285715
0.15700917875,0.7688750000000001
0.1533578025,0.7398928571428571
0.14605505000000002,0.6314107142857143
0.1387522975,0.5583392857142857
0.131449545,0.4660714285714286
0.12414679250000002,0.3933392857142857
0.11684404000000001,0.3259285714285714
0.1095412875,0.270625
0.10223853500000002,0.23683928571428572
0.09493578250000001,0.20276785714285714
0.08763303,0.17323214285714286
#####

#Lattice Size =  20 x 30
J*B_star/2. , magnetization_density
0.20447707000000004,0.9417
0.18987156500000002,0.9234416666666667
0.1825688125,0.9223916666666666
0.17526606,0.9028083333333332
0.16796330750000002,0.8609416666666667
0.160660555,0.7855
0.15700917875,0.713075
0.1533578025,0.6528666666666667
0.14605505000000002,0.43929166666666664
0.1387522975,0.32383333333333336
0.131449545,0.24430833333333335
0.12414679250000002,0.185675
0.11684404000000001,0.15700833333333333
0.1095412875,0.11411666666666666
0.10223853500000002,0.09646666666666667
0.09493578250000001,0.08701666666666667
0.08763303,0.070175
#####

#Lattice Size =  44 x 60
J*B_star/2. , magnetization_density
0.20447707000000004,0.9378106060606062
0.18987156500000002,0.9279166666666666
0.1825688125,0.9125378787878787
0.17526606,0.8929318181818182
0.16796330750000002,0.8619545454545454
0.160660555,0.7682045454545454
0.15700917875,0.6653030303030303
0.1533578025,0.5234242424242423
0.14970642625,0.35213636363636364
0.14605505000000002,0.23448484848484846
0.1387522975,0.15400757575757576
0.131449545,0.1340909090909091
0.12414679250000002,0.10213636363636364
0.11684404000000001,0.07451515151515152
0.10223853500000002,0.04553787878787879
#####
