#Lattice Size =  8 x 14
J*B_star/2. , binder
0.20447707000000004,0.9941447555458098
0.18987156500000002,0.991588048132617
0.1825688125,0.9885741236602218
0.17526606,0.9818807499807218
0.16796330750000002,0.9675898376853335
0.160660555,0.9345907224142563
0.15700917875,0.9144182494479787
0.1533578025,0.898430379846708
0.14605505000000002,0.8140918446756669
0.1387522975,0.7403376420514093
0.131449545,0.6353604857995317
0.12414679250000002,0.5068358044462612
0.11684404000000001,0.38056676086053853
0.1095412875,0.2906084098426429
0.10223853500000002,0.18311735589489153
0.09493578250000001,0.23993089360888353
0.08763303,0.14529516929388486
#####

#Lattice Size =  20 x 30
J*B_star/2. , binder
0.20447707000000004,0.9990713367103932
0.18987156500000002,0.998114519320582
0.1825688125,0.997163242519497
0.17526606,0.993949407646648
0.16796330750000002,0.9809237623304411
0.160660555,0.9435347919687667
0.15700917875,0.9065371011592838
0.1533578025,0.8701127007766026
0.14605505000000002,0.6246344806340112
0.1387522975,0.377826400621323
0.131449545,0.27241926390880145
0.12414679250000002,0.19459578848220915
0.11684404000000001,0.10373917880388306
0.1095412875,-0.06949389139685103
0.10223853500000002,-0.008489931030831954
0.09493578250000001,0.12643395672093538
0.08763303,-0.011363516056069667
#####

#Lattice Size =  44 x 60
J*B_star/2. , binder
0.20447707000000004,0.9996920754588441
0.18987156500000002,0.9992338774807561
0.1825688125,0.9988958088109222
0.17526606,0.9981745623928809
0.16796330750000002,0.9953341058377195
0.160660555,0.9625983762085544
0.15700917875,0.9158849107285614
0.1533578025,0.8012567682235089
0.14970642625,0.5626447384932374
0.14605505000000002,0.2293520299555556
0.1387522975,0.03823657091188948
0.131449545,0.1706621175698988
0.12414679250000002,0.1708434401390384
0.11684404000000001,0.10630262534709045
0.10223853500000002,0.1891031071546143
#####
