#Lattice Size =  8 x 14
J*B_star/2. , susceptibility
0.20447707000000004,0.43758996428570235
0.18987156500000002,0.6132211071428628
0.1825688125,0.7734685357142845
0.17526606,1.4779442500000155
0.16796330750000002,2.7512285357142736
0.160660555,4.631411392857144
0.15700917875,5.874562535714282
0.1533578025,6.19634442857143
0.14605505000000002,8.019647107142848
0.1387522975,8.460275392857142
0.131449545,7.651857142857141
0.12414679250000002,6.574152535714284
0.11684404000000001,5.254803428571429
0.1095412875,3.975749107142858
0.10223853500000002,3.220993964285715
0.09493578250000001,2.230677678571429
0.08763303,1.759699964285714
#####

#Lattice Size =  20 x 30
J*B_star/2. , susceptibility
0.20447707000000004,0.2520993333333172
0.18987156500000002,0.5027762916665718
0.1825688125,0.8382512916667232
0.17526606,1.9545179583334054
0.16796330750000002,7.477884624999909
0.160660555,21.51631666666668
0.15700917875,25.035176624999973
0.1533578025,31.34556933333331
0.14605505000000002,37.07798229166668
0.1387522975,26.65394999999999
0.131449545,17.686579624999993
0.12414679250000002,11.310026625
0.11684404000000001,7.324746625000001
0.1095412875,4.7273985000000005
0.10223853500000002,3.685642666666665
0.09493578250000001,2.4883598333333325
0.08763303,1.6840316250000005
#####

#Lattice Size =  44 x 60
J*B_star/2. , susceptibility
0.20447707000000004,0.36009378787870944
0.18987156500000002,0.9102537878792536
0.1825688125,1.266223484848513
0.17526606,1.9582137878783132
0.16796330750000002,4.866623636363709
0.160660555,44.4678319696972
0.15700917875,85.73737878787867
0.1533578025,123.65283878787878
0.14970642625,106.27119333333333
0.14605505000000002,74.30892363636363
0.1387522975,40.72303924242424
0.131449545,24.269878787878792
0.12414679250000002,13.187556969696974
0.11684404000000001,8.008258181818181
0.10223853500000002,2.8078756060606063
#####
